,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
14219,Takehara,34.3417,132.9069,Japan,274.92,69.0,20.0,2.57
8250,Clifton Heights,39.9301,-75.2958,United States,278.17,39.0,20.0,4.12
5354,Zalaegerszeg,46.8392,16.8511,Hungary,279.15,81.0,0.0,2.48
23457,Sturgis,44.411,-103.4975,United States,273.84,60.0,90.0,7.2
2323,Khimki,55.8892,37.445,Russia,266.15,86.0,90.0,5.0
13274,Westfield,40.6515,-74.3433,United States,276.48,56.0,20.0,5.66
62,Onitsha,6.1667,6.7833,Nigeria,302.66,24.0,0.0,2.75
18485,Glendale,43.1288,-87.9277,United States,294.83,24.0,1.0,2.57
21669,Viechtach,49.0792,12.8847,Germany,273.26,73.0,100.0,2.24
23987,Gammertingen,48.2494,9.2175,Germany,280.57,74.0,100.0,0.45
15268,South Milwaukee,42.912,-87.8627,United States,273.24,86.0,90.0,6.17
25687,Red Oak,41.0141,-95.2248,United States,289.05,47.0,1.0,9.26
5898,Teaneck,40.89,-74.0107,United States,277.91,42.0,1.0,5.14
20271,Waynesville,35.4854,-82.9995,United States,278.73,13.0,100.0,3.13
26297,Chernyshevskiy,63.0128,112.4714,Russia,239.35,86.0,100.0,1.55
24613,Trooper,40.1489,-75.3995,United States,277.79,42.0,1.0,3.6
17745,Zimnicea,43.6539,25.365,Romania,282.59,77.0,0.0,0.89
2288,North Las Vegas,36.288,-115.0901,United States,286.72,19.0,1.0,7.2
239,Jinan,36.6667,116.9833,China,282.04,40.0,100.0,1.34
10116,Mansfield,40.7656,-82.5275,United States,278.87,95.0,100.0,3.13
15329,Alice,27.7556,-98.0653,United States,303.04,45.0,1.0,3.6
6451,Linden,6.0,-58.3,Guyana,301.15,74.0,75.0,8.23
25524,Shibetsu,43.6614,145.1314,Japan,260.89,88.0,75.0,4.34
14081,Zheleznovodsk,44.1333,43.0333,Russia,281.15,66.0,98.0,2.0
20649,Roxboro,36.3879,-78.9812,United States,283.69,22.0,1.0,2.57
4351,Douliu,23.7075,120.5439,Taiwan,289.3,53.0,0.0,1.16
23796,Thannhausen,48.2667,10.4667,Germany,279.82,78.0,100.0,2.54
13894,La Teste-de-Buch,44.62,-1.1457,France,284.15,93.0,100.0,5.14
12036,Romeoville,41.6318,-88.0996,United States,273.67,100.0,90.0,8.75
2355,San Juan del Río,20.3833,-99.9833,Mexico,299.15,15.0,1.0,5.14
17732,Glenn Dale,38.9833,-76.804,United States,280.81,19.0,1.0,3.09
8940,Encamp,42.5167,1.5667,Andorra,278.31,69.0,9.0,3.13
24524,Andover,41.0244,-74.7283,United States,281.07,100.0,75.0,4.63
22360,Santa María del Oro,25.9333,-105.3667,Mexico,300.73,13.0,48.0,4.22
3129,Tuluá,4.0904,-76.21,Colombia,299.02,40.0,40.0,3.09
24874,Chlumec nad Cidlinou,50.1545,15.4603,Czechia,275.61,75.0,0.0,0.51
11707,San Lorenzo,13.3667,-87.2667,Honduras,302.15,51.0,40.0,7.72
6973,Ati,13.2139,18.3403,Chad,296.05,20.0,0.0,6.46
23176,Northgate,39.2531,-84.5943,United States,275.92,52.0,90.0,2.06
14529,Arbroath,56.561,-2.586,United Kingdom,276.66,93.0,75.0,11.32
14803,Bedford,42.9407,-71.5302,United States,281.08,97.0,99.0,4.97
22552,Hořovice,49.8361,13.9027,Czechia,273.16,100.0,99.0,1.13
16333,Tsuiki,33.6561,131.0561,Japan,278.15,75.0,20.0,2.06
3620,Ingolstadt,48.7636,11.4261,Germany,278.73,81.0,100.0,2.06
2953,El Oued,33.3704,6.86,Algeria,292.15,30.0,0.0,2.06
3763,Lucheng,30.05,101.9667,China,279.85,93.0,100.0,1.0
11393,Bothell,47.7735,-122.2044,United States,279.42,87.0,90.0,3.6
11895,Eberswalde,52.8331,13.8331,Germany,273.53,84.0,88.0,0.89
1664,Florence,43.7714,11.2542,Italy,286.08,94.0,75.0,1.03
2791,Hyesan,41.4,128.1833,"Korea, North",257.61,87.0,0.0,0.49
2909,Amadora,38.75,-9.2333,Portugal,285.24,93.0,20.0,2.06
23191,Ladera Heights,33.9972,-118.374,United States,289.47,63.0,20.0,1.54
8913,Bojnik,43.0142,21.718,Serbia,282.99,66.0,0.0,1.03
10968,Arroyo Grande,35.1241,-120.5845,United States,289.38,34.0,1.0,5.14
14539,Gōtsuchō,34.9809,132.2949,Japan,277.15,70.0,85.0,2.0
5841,Cao Bằng,22.6731,106.25,Vietnam,287.95,89.0,2.0,1.12
1175,Hamhŭng,39.9167,127.5333,"Korea, North",268.19,87.0,1.0,1.99
2515,Rufisque,14.7167,-17.2667,Senegal,292.15,82.0,0.0,8.23
5399,Zouerate,22.7344,-12.4725,Mauritania,292.54,34.0,35.0,6.15
14678,Allison Park,40.573,-79.9603,United States,275.75,45.0,97.0,0.89
25343,Vienna,43.2344,-75.7777,United States,278.42,75.0,0.0,2.06
1634,Poughkeepsie,41.6949,-73.921,United States,278.85,42.0,1.0,1.31
1382,Kota Bharu,6.1333,102.25,Malaysia,298.15,88.0,20.0,1.52
13745,New Lenox,41.5097,-87.97,United States,273.59,100.0,90.0,8.75
13279,Bourgoin-Jallieu,45.5861,5.2736,France,280.75,93.0,0.0,2.06
12162,Eagle Mountain,40.3137,-112.0114,United States,274.11,48.0,73.0,3.13
22589,Palmyra,40.31,-76.5945,United States,285.32,80.0,100.0,8.02
10575,Rubizhne,49.0167,38.3667,Ukraine,280.85,89.0,100.0,6.59
291,Xiangtan,27.8431,112.9228,China,282.15,100.0,75.0,3.0
20133,Fuller Heights,27.9226,-81.9978,United States,293.4,19.0,1.0,2.06
15453,Qorasuv,40.7222,72.8872,Uzbekistan,275.81,69.0,2.0,4.0
23089,Gerbstedt,51.6331,11.6167,Germany,277.4,82.0,99.0,0.45
20116,Nagyatád,46.2294,17.3575,Hungary,280.11,81.0,0.0,2.28
13161,North Tonawanda,43.0457,-78.8659,United States,275.06,69.0,1.0,4.63
4626,Sidi Slimane,34.26,-5.93,Morocco,285.15,94.0,40.0,3.09
