,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
24314,Silveiras,-22.6639,-44.8528,Brazil,306.15,46.0,40.0,2.06
11701,Rantepao,-2.969,119.9,Indonesia,292.42,86.0,98.0,1.14
19693,Springbok,-29.6667,17.8833,South Africa,290.4,58.0,0.0,1.78
609,Bandar Lampung,-5.4294,105.2625,Indonesia,296.36,93.0,100.0,3.18
22728,Píllaro,-1.1667,-78.5333,Ecuador,291.93,52.0,75.0,4.12
15642,Capela do Alto,-23.4706,-47.7347,Brazil,301.28,74.0,51.0,3.12
3269,Rondonópolis,-16.4695,-54.64,Brazil,305.31,53.0,98.0,2.27
6159,Tucano,-10.9582,-38.7908,Brazil,303.08,49.0,52.0,3.56
6513,Popondetta,-8.7656,148.2347,Papua New Guinea,297.4,91.0,20.0,1.03
13470,Mollendo,-17.0167,-72.0167,Peru,295.93,70.0,81.0,3.09
8926,Lubango,-14.9167,13.5,Angola,290.75,56.0,0.0,0.81
14227,Álvares Machado,-22.0789,-51.4719,Brazil,303.15,58.0,40.0,4.12
6763,Barras,-4.25,-42.3,Brazil,302.03,61.0,84.0,2.53
1071,São José dos Campos,-23.1789,-45.8869,Brazil,305.15,43.0,20.0,3.6
12892,Zapala,-38.9028,-70.065,Argentina,301.4,15.0,0.0,8.05
7331,Villa Hayes,-25.09,-57.53,Paraguay,302.15,51.0,40.0,7.72
4125,Puerto Madryn,-42.773,-65.0366,Argentina,305.59,18.0,0.0,11.85
784,Port Louis,-20.1667,57.5,Mauritius,299.21,78.0,40.0,5.14
4735,Coronel Oviedo,-25.45,-56.44,Paraguay,299.11,76.0,10.0,2.31
3996,Várzea Paulista,-23.2108,-46.8278,Brazil,303.82,51.0,75.0,6.17
20086,Bowen,-20.0167,148.2333,Australia,296.15,100.0,75.0,2.57
24136,Karasburg,-28.0172,18.7478,Namibia,299.08,25.0,0.0,7.12
7689,Ntcheu,-14.8167,34.6333,Malawi,292.17,93.0,94.0,0.48
13212,Paraparaumu,-40.9167,175.0167,New Zealand,289.28,66.0,95.0,3.47
23923,Lincoln,-43.64,172.486,New Zealand,269.92,54.0,1.0,9.77
5947,Florida,-34.1,-56.2167,Uruguay,291.68,29.0,1.0,3.09
15163,Santo Anastácio,-21.9769,-51.6519,Brazil,303.15,58.0,40.0,4.12
11025,Pasaje,-3.3269,-79.8049,Ecuador,303.15,58.0,90.0,5.14
15052,Antsohihy,-14.8661,47.9834,Madagascar,297.71,92.0,100.0,0.96
5324,Kabinda,-6.1296,24.48,Congo (Kinshasa),293.2,89.0,18.0,0.77
12885,Sechura,-5.5576,-80.8223,Peru,301.31,55.0,49.0,6.43
13677,Caboolture,-27.0667,152.967,Australia,293.33,98.0,100.0,0.79
12222,Juanjuí,-7.1802,-76.7265,Peru,304.15,66.0,75.0,2.57
13860,Pukekohe East,-37.195,174.9481,New Zealand,293.15,77.0,75.0,2.06
11383,Irati,-25.4672,-50.6511,Brazil,296.25,96.0,8.0,1.54
11152,Mahalapye,-23.1041,26.8142,Botswana,295.5,83.0,100.0,2.25
25881,Weipa,-12.6167,141.8667,Australia,299.15,89.0,90.0,2.57
13777,Piracaia,-23.0539,-46.3581,Brazil,304.48,51.0,20.0,5.14
7834,Karuzi,-3.1,30.163,Burundi,290.15,89.0,100.0,0.95
26264,Bullsbrook,-31.663,116.03,Australia,288.3,51.0,0.0,11.32
4998,Kismaayo,-0.3603,42.5489,Somalia,297.97,82.0,0.0,6.58
19063,Casino,-28.8483,153.0511,Australia,291.52,94.0,92.0,2.06
22030,Kyabram,-36.3167,145.05,Australia,295.93,71.0,84.0,0.45
12404,Guayaramerín,-10.8267,-65.3567,Bolivia,299.15,83.0,75.0,4.12
5649,Leribe,-28.8734,28.0416,Lesotho,287.44,90.0,0.0,0.44
15042,Juli,-16.2125,-69.4603,Peru,284.64,60.0,73.0,4.0
10813,General Pico,-35.6667,-63.7333,Argentina,307.07,12.0,0.0,2.79
19362,Belén,-23.4695,-57.24,Paraguay,298.15,61.0,1.0,1.54
2517,Formosa,-26.1847,-58.1758,Argentina,302.15,51.0,40.0,8.23
18598,Nelson Bay,-32.715,152.1511,Australia,294.98,83.0,0.0,3.09
877,Padang,-0.9556,100.3606,Indonesia,298.15,88.0,40.0,0.51
5513,Cametá,-2.2396,-49.51,Brazil,300.75,79.0,89.0,3.51
9675,Chosica,-11.9431,-76.7094,Peru,297.57,65.0,0.0,2.57
8297,Siteki,-26.45,31.95,Swaziland,291.15,48.0,100.0,2.57
26013,Winton,-22.3913,143.0381,Australia,285.04,66.0,1.0,2.57
525,Goiânia,-16.6789,-49.2539,Brazil,304.15,48.0,40.0,3.09
14201,Lincoln,-34.85,-61.5167,Argentina,269.92,54.0,1.0,9.77
21897,Kiunga,-6.1167,141.3,Papua New Guinea,296.3,97.0,100.0,0.85
15254,Nova Granada,-20.5339,-49.3139,Brazil,301.15,61.0,75.0,1.54
11714,Lubao,-5.3896,25.75,Congo (Kinshasa),297.15,78.0,40.0,2.06
11288,Port Macquarie,-31.4333,152.9,Australia,292.03,99.0,18.0,3.09
8928,Mparo,-1.1647,30.0378,Uganda,286.63,100.0,100.0,0.14
2817,Ferraz de Vasconcelos,-23.5411,-46.3689,Brazil,303.78,51.0,20.0,5.14
23961,South Grafton,-29.715,152.9344,Australia,292.15,100.0,75.0,0.54
24688,Tuakau,-37.2667,174.95,New Zealand,292.2,77.0,75.0,2.06
17907,Waikanae,-40.876,175.064,New Zealand,289.56,65.0,89.0,3.06
22913,Rabaul,-4.1981,152.1681,Papua New Guinea,300.25,75.0,100.0,1.36
1050,Osasco,-23.5328,-46.7919,Brazil,303.48,51.0,75.0,6.17
7654,Daru,-9.0833,143.2,Papua New Guinea,298.57,88.0,99.0,5.28
7377,Mosgiel,-45.875,170.348,New Zealand,285.37,69.0,40.0,9.83
15226,Gamboma,-1.8795,15.85,Congo (Brazzaville),297.64,85.0,100.0,0.74
2815,Mwene-Ditu,-7.0,23.45,Congo (Kinshasa),293.02,94.0,1.0,1.1
8777,Neno,-15.3981,34.6534,Malawi,293.85,92.0,100.0,0.2
23317,Wynyard,-41.0,145.7167,Australia,291.48,93.0,100.0,3.58
19494,Portland,-38.3333,141.6,Australia,279.43,76.0,90.0,2.57
4085,Tatuí,-23.3556,-47.8569,Brazil,300.74,76.0,53.0,3.06
15107,Griffith,-34.29,146.04,Australia,273.79,93.0,90.0,7.2
5916,Maués,-3.3896,-57.72,Brazil,303.68,71.0,90.0,0.37
25905,Tom Price,-22.6939,117.795,Australia,294.15,78.0,100.0,2.57
906,Campo Grande,-20.4686,-54.6222,Brazil,297.15,88.0,75.0,2.06
6512,Santa Maria da Vitória,-13.39,-44.21,Brazil,300.95,67.0,52.0,0.81
2844,Prabumulih,-3.4328,104.2356,Indonesia,295.23,98.0,100.0,1.69
25983,Halls Creek,-18.23,127.67,Australia,298.02,78.0,100.0,7.17
